FACILITY_ID,EXISTING_FACILITY,RECOMMEND_FACILITY,ACTION,PHASE,YEAR_BUILT,PROPOSED,ROUTE_NAME,SURFACE,MILEAGE,FACILITY_WIDTH,MAINTENANCE,FULLNAME,FROMNAME,TONAME,VOLCLASS,TRAVLANES,LANEWIDTH,SPEEDLIMIT,ONEWAY,HUNDBLKNAME,COMMENTS
,,BL,RP1,3,,,,,,,,N HIGH ST,E 20TH AVE,E 21ST AVE,LOCAL,2,10,25,0, 2000 BLK OF N HIGH ST,
,,BBlvd,C,3,,,,,,,,W 50TH AVE,N RARITAN ST,N SHOSHONE ST,LOCAL,2,10,25,0, 1800 BLK OF W 50TH AVE,
,,BL,RP1,3,,,,,,,,W 50TH AVE,N STUART ST,N TENNYSON ST,COLLECTOR,2,10,25,0, 4300 BLK OF W 50TH AVE,
,SRd,BL,RP2,1,,,,,,,,W 49TH AVE,N CHASE ST,N DEPEW ST,LOCAL,2,10,25,0, 5500 BLK OF W 49TH AVE,
,SRd,SH,ASM,2,,,,,,,,N ZUNI ST,W 47TH AVE,W ELK PL,COLLECTOR,2,11,30,0, 4700 BLK OF N ZUNI ST,
,,BL,RD,3,,,,,,,,N ZUNI ST,W 27TH AVE,W 28TH AVE,ARTERIAL,4,11,30,0, ,
,SRd,BL,RP1,1,,,,,,,,E 21ST AVE,N GILPIN ST,N WILLIAMS ST,LOCAL,2,10,25,0, 1700 BLK OF E 21ST AVE,
,,SH,ASM,3,,,,,,,,E 51ST AVE,N EMERSON ST,CDS,LOCAL,2,10,25,0,  900 BLK OF E 51ST AVE,
,,BL,LD,3,,,,,,,,N WASHINGTON ST,E 48TH AVE/RRX,E 48TH AVE,ARTERIAL,2,10,30,0, 4800 BLK OF N WASHINGTON ST,
,,BL,ASM,2,,,,,,,,E 48TH AVE,N CLAYTON ST,N FILLMORE ST,COLLECTOR,2,10,25,0, 2700 BLK OF E 48TH AVE,
,,BL,RP2,3,,,,,,,,W 50TH AVE,N WYANDOT ST,N ZUNI ST,COLLECTOR,2,10,30,0, 2300 BLK OF W 50TH AVE,
,SRd,BL,RP2,1,,,,,,,,W 49TH AVE,N FENTON ST,N FENTON ST,LOCAL,2,10,25,0, 5800 BLK OF W 49TH AVE,
,,BBlvd,C,1,,,,,,,,N MARION ST,E 31ST AVE,E MARTIN LUTHER KING BLVD,LOCAL,2,10,25,1, 3100 BLK OF N MARION ST,
,,BBlvd,C,3,,,,,,,,N OSAGE ST,W 48TH AVE,W DIXIE PL,LOCAL,2,10,25,0, 4800 BLK OF N OSAGE ST,
,,BL,RP1,3,,,,,,,,W 50TH AVE,N RALEIGH ST,N STUART ST,COLLECTOR,2,10,25,0, 4200 BLK OF W 50TH AVE,
,,,FTP1,3,,,,,,,,N ZUNI ST,W 44TH AVE,W 45TH AVE,COLLECTOR,2,11,30,0, 4400 BLK OF N ZUNI ST,
,,BL,ASM,2,,,,,,,,E 48TH AVE,N SAINT PAUL CT,N STEELE ST,COLLECTOR,2,10,25,0, 3150 BLK OF E 48TH AVE,
,,BL,ASM,2,,,,,,,,E 48TH AVE,N SAINT PAUL ST,N SAINT PAUL CT,COLLECTOR,2,10,25,0, 3100 BLK OF E 48TH AVE,
,,BBlvd,C,1,,,,,,,,N MARION ST,E 28TH AVE,E 29TH AVE,LOCAL,2,10,25,1, 2800 BLK OF N MARION ST,
,,BBlvd,C,3,,,,,,,,N WILLIAMS ST,E BRUCE RANDOLPH AVE,E 35TH AVE,COLLECTOR,2,10,25,0, 3400 BLK OF N WILLIAMS ST,
,SRd,SH,ASM,2,,,,,,,,N ZUNI ST,W 48TH AVE,W 49TH AVE,COLLECTOR,2,11,30,0, 4800 BLK OF N ZUNI ST,
,SRd,,FTP2,,,,,,,,,N FRANKLIN ST,E 38TH AVE/N HUMBOLDT ST,N LAFAYETTE ST,COLLECTOR,2,10,25,0, 3800 BLK OF N FRANKLIN ST,
,SRd,SH,ASM,2,,,,,,,,N ZUNI ST,W 46TH AVE,W 47TH AVE,COLLECTOR,2,11,30,0, 4600 BLK OF N ZUNI ST,
,,BL,RP2,1,,,,,,,,W 49TH AVE,N SHERIDAN BLVD,N AMES ST,LOCAL,2,10,25,0, 5200 BLK OF W 49TH AVE,
,,BL,ASM,2,,,,,,,,E 48TH AVE,N MONROE ST/RRX,N JACKSON ST,COLLECTOR,2,10,25,0, 3600 BLK OF E 48TH AVE,
,,BL,LD,3,,,,,,,,N BRIGHTON BLVD,E 47TH AVE,E 48TH AVE,ARTERIAL,2,0,35,0, 4700 BLK OF N BRIGHTON BLVD,
,,BBlvd,C,3,,,,,,,,W 50TH AVE,N PECOS ST,N RARITAN ST,LOCAL,2,10,25,0, 1700 BLK OF W 50TH AVE,
,,,ASM,2,,,,,,,,E 47TH AVENUE DR,STR,STR,COLLECTOR,2,10,25,0, ,
,SRd,S,S,3,,,,,,,,E MISSISSIPPI AVE,S BIRCH ST,COLI/S BIRCH ST,COLLECTOR,2,10,25,0, 4400 BLK OF E MISSISSIPPI AVE,
,SRd,BL,RP1,3,,,,,,,,W 46TH AVE,N SHOSHONE ST,N TEJON ST,COLLECTOR,2,10,30,0, 1900 BLK OF W 46TH AVE,
,,BBlvd,ASM,3,,,,,,,,N LINCOLN ST,E 50TH AVE,E 51ST AVE,LOCAL,2,10,25,0, 5000 BLK OF N LINCOLN ST,
,SRd,BL,RD,3,,,,,,,,N STEELE ST,E 43RD AVE,E 44TH AVE,COLLECTOR,2,10,25,0, 4300 BLK OF N STEELE ST,
,,SH,ASM,3,,,,,,,,W 32ND AVE,N ZENOBIA ST,N ZENOBIA ST,COLLECTOR,2,10,30,0, 5100 BLK OF W 32ND AVE,
,,BL,ASM,2,,,,,,,,E 48TH AVE,N VASQUEZ BLVD FRONTAGE E,N MONROE ST/RRX,COLLECTOR,2,10,25,0, 3400 BLK OF E 48TH AVE,
,,BL,LD,3,,,,,,,,N WASHINGTON ST,E ELGIN PL,E 49TH AVE,ARTERIAL,2,10,30,0, ,
,,SH,ASM,3,,,,,,,,W 32ND AVE,N WYANDOT ST,N ZUNI ST,COLLECTOR,2,10,30,0, 2300 BLK OF W 32ND AVE,
,,BL,LD,3,,,,,,,,N WASHINGTON ST,E 51ST AVE,E 51ST AVE,ARTERIAL,2,10,30,0, 5100 BLK OF N WASHINGTON ST,
,,BL,ASM,2,,,,,,,,E 48TH AVE,N FILLMORE ST,N MILWAUKEE ST,COLLECTOR,2,10,25,0, 2900 BLK OF E 48TH AVE,
,,SH,ASM,3,,,,,,,,W 32ND AVE,N OSCEOLA ST,N PERRY ST,COLLECTOR,2,10,30,0, 3900 BLK OF W 32ND AVE,
,,BL,ASM,2,,,,,,,,E 48TH AVE,N STEELE ST,N ADAMS ST,COLLECTOR,2,10,25,0, 3200 BLK OF E 48TH AVE,
,,SH,ASM,3,,,,,,,,W 32ND AVE,N YATES ST,N ZENOBIA ST,COLLECTOR,2,10,30,0, 5000 BLK OF W 32ND AVE,
,,,LD,,,,,,,,,S NAVAJO ST,W MAPLE AVE,W CEDAR AVE,LOCAL,2,10,25,0,  150 BLK OF S NAVAJO ST,
,SRd,BL,RP1,1,,,,,,,,E 21ST AVE,N FRANKLIN ST,N GILPIN ST,LOCAL,2,10,25,0, 1600 BLK OF E 21ST AVE,
,SRd,,FTP2,,,,,,,,,N FRANKLIN ST,E 36TH AVE,E 37TH AVE,COLLECTOR,2,10,25,0, 3600 BLK OF N FRANKLIN ST,
,,BBlvd,C,1,,,,,,,,N MARION ST,E MARTIN LUTHER KING BLVD,E 33RD AVE,LOCAL,2,10,25,1, 3200 BLK OF N MARION ST,
