LOCATION,LOC_CODE,TRAIL_NAME,REACH,PATH_TYPE,TYPE_CLASS,SURFACE_TYPE,LENGTH_MILE,WIDTH_FT,PRIMARY_USE,JURISDICTION,ACCESSIBILITY,YEAR_BUILT,YEAR_RESURF,NOTES,ASSET_CLASS,CLASS_CATEGORY,GIS_ASSET_ID,INFOR_ASSET_ID
South Platte River Greenway,TRL-SP,South Platte River Trail,Mile High Stadium to Centennial Gardens,2,Regional,Concrete,0.8717699,None,None,City & County of Denver,None,None, ,None,WLKTRL,TRL-RGN,75975,112171
South Platte River Greenway,TRL-SP,South Platte River Trail,None,2,Access/Ramp,Concrete,0.0132843,None,None,City & County of Denver,None,None, ,None,WLKTRL,TRL-RGN,76005,112172
Johnson-Habitat,910,South Platte River Trail,None,2,Regional,Concrete,0.3790698,None,None,City & County of Denver,None,2015, ,None,WLKTRL,TRL-RGN,72024,104152
Highland Gateway Park,046,None,None,1,Park Circulation,Concrete,0.02161149,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,72383,106515
Highland Gateway Park,046,None,None,1,Right of Way Walk,Concrete,0.0064324,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,72343,105749
Highland Gateway Park,046,None,None,1,Park Circulation,Concrete,0.02758368,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,72491,109407
Highland Gateway Park,046,None,None,1,Right of Way Walk,Concrete,0.00835297,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,72492,109408
Highland Gateway Park,046,None,None,1,Right of Way Walk,Concrete,0.0120823,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,72384,106516
Highland Park,013,None,None,1,Right of Way Walk,Concrete,0.08829857,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,72417,107269
Highland Park,013,None,None,1,Right of Way Walk,Concrete,0.06435075,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,72493,109409
Highland Park,013,None,None,1,Park Circulation,Concrete,0.00935809,None,None,City & County of Denver,None,2010, ,None,WLKTRL,WLK-HARD,72418,107270
Highland Park,013,None,None,1,Right of Way Walk,Concrete,0.07014874,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,72344,105750
Hirshorn Park,014,None,None,1,Right of Way Walk,Concrete,0.04163524,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,72386,106518
Hirshorn Park,014,None,None,1,Right of Way Walk,Concrete,0.00293911,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,72472,108710
Hungarian Freedom Park,302,None,None,1,Right of Way Walk,Concrete,0.06876347,10.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,72387,106519
Huston Lake Park,811,None,None,1,Park Circulation,Concrete,0.02953291,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,72446,107997
Bear Valley,140,None,None,1,Park Circulation,Asphalt,0.58304015,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70811,105535
Bear Valley,140,None,None,1,Park Circulation,Asphalt,0.02567061,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70947,108529
